key,nubKey,nameKey,taxonID,sourceTaxonKey,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,numDescendants,lastCrawled,lastInterpreted,issues,class,group,basionymKey,basionym,publishedIn
9287326,9287326.0,14009068,gbif:9287326,154719745.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira regulata,4,98,7947184.0,508,7704294,9623827,9287326.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira regulata Kazarina, 1978",Thalassiosira regulata,,"Kazarina, 1978",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.821+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Kazarina, G.H. (1978). [New species of diatoms from bottom sediments of Indian Ocean]. In: Marine Micropaleontology (Diatoms, Radiolarians, Silicoflagellates, and Calcareous Nannofossils), Academy of Sciences USSR, Oceanographic Commission. Publishing House ""Nauka"", Moscow, 45-46, 1 pl."
6539657,6539657.0,14009216,gbif:6539657,154719931.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rosulata,4,98,7947184.0,508,7704294,9623827,6539657.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira rosulata Takano, 1985",Thalassiosira rosulata,,"Takano, 1985",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.869+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Takano, H. (1985). Two new diatoms in the genus Thalassiosira from Japanese marine waters. Bulletin Tokai Regional Fisheries Research Lab, 116: 1-11"
3193496,3193496.0,11149438,gbif:3193496,154720027.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira rotula,4,98,7947184.0,508,7704294,9623827,3193496.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira rotula Meunier, 1910",Thalassiosira rotula,,"Meunier, 1910",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,2,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.680+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Meunier, A. (1910). Microplankton des Mers de Barents et de Kara. Duc d'Orléans. Campagne arctique de 1907. Imprimerie scientifique Charles Bulens: Bruxelles, Belgium. 355 + atlas (XXXVII plates) pp."
6879484,6879484.0,17141484,gbif:6879484,154719903.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sackettii,4,98,7947184.0,508,7704294,9623827,6879484.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira sackettii G.Fryxell, 1977",Thalassiosira sackettii,,"G.Fryxell, 1977",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,2,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.852+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Fryxell, G.A. & Hasle, G.R. (1977). The genus Thalassiosira:  species with a modified ring of central strutted processes . In: R. Simonsen (ed.), Proceedings of the Fourth Symposium on Recent and Fossil Marine Diatoms,  Oslo, August 30 - September 3, 1976. Beihefte zur Nova Hedwigia, 54: 67-98"
7595763,7595763.0,11149460,gbif:7595763,154719902.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira salvadoriana,4,98,7947184.0,508,7704294,9623827,7595763.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira salvadoriana Hustedt, 1956",Thalassiosira salvadoriana,,"Hustedt, 1956",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.756+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Hustedt, F. (1956). Diatomeen aus dem Lago de Maracaibo in Venezuela. In: Ergebnisse der deutschen limnologischen Venezuela-Expedition 1952 (F. Gessner & V. Vareschi).  Deutscher Verlag der Wissenschaften, Berlin, 1: 93-140"
3193549,3193549.0,14009155,gbif:3193549,154719864.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sancettae,4,98,7947184.0,508,7704294,9623827,3193549.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira sancettae Akiba, 1985",Thalassiosira sancettae,,"Akiba, 1985",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.952+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Akiba, F. (1985). Middle Miocene to Quaternary diatom biostratigraphy in the Nankai Trough and Japan trench, and modified Lower Miocene through Quarternary diatom zones for middle-to-high latitudes of the North Pacific. In: Kagami, H., Karig. D.E., Coulbourn, W.T. et al. (eds), Initial Reports of the Deep Sea Drilling Project, vol. 87. Washington (U.S. Government Printing Office), 87: 393-481, 30 pls."
9302396,9302396.0,14009081,gbif:9302396,154719759.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sarmatica,4,98,7947184.0,508,7704294,9623827,9302396.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira sarmatica Hajós, 1973",Thalassiosira sarmatica,,"Hajós, 1973",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.450+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Hajós, M. (1973). Faciological and stratigraphic importance of the Miocene diatoms in Hungary. In: R. Simonsen (ed.), Proceedings of the Second Symposium on Recent and Fossil Marine Diatoms,  London, September 4-9, 1972. Beihefte zur Nova Hedwigia, 45: 365-390"
9631932,9631932.0,14009045,gbif:9631932,154719722.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira saturni,4,98,7947184.0,508,7704294,9623827,9631932.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira saturni Lohmann, 1908",Thalassiosira saturni,,"Lohmann, 1908",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:18.191+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Lohmann, H. (1908). Untersuchungen zur Festellung des vollstanigen Gehalts des Meers an Plankton. Wissenschaftliche Meeresuntersuchungen.  Abteilung Kiel, Neue Folge, 10: 131-370, 9 Taf. (pls.), 22 text figs., 2 Taf."
3193559,3193559.0,11149468,gbif:3193559,154719978.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira scotia,4,98,7947184.0,508,7704294,9623827,3193559.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira scotia Fryxell & Hoban, 1979",Thalassiosira scotia,,"Fryxell & Hoban, 1979",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.580+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Fryxell, G.A., Villareal, T.A. & Hoban, M.A. (1979). Thalassiosira scotia, sp. nov.: observations on a phytoplankton increase in early austral spring north of the Scotia Ridge. Journal of Plankton Research, 1(4): 355-370"
9374216,9374216.0,14009076,gbif:9374216,154719754.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sheshukovae,4,98,7947184.0,508,7704294,9623827,9374216.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira sheshukovae Makarova, 1988",Thalassiosira sheshukovae,,"Makarova, 1988",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.655+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Makarova, I.V. (1988). [New combinations of taxa from the late Miocene and the early Pliocene diatom floras of the Sakhalin]. Botanicheskii Zhurnal, 73(8): 1183-1186"
